//ID#Nome_do_Sprite#							Nome da Ilustracao (kRO)		Nome da Carta (bRO)
4001#Poring_Card#						//		Æ÷¸µÄ«µå					|		Carta Poring
4002#Fabre_Card#						//		ÆÄºê¸£Ä«µå					|		Carta Fabre
4003#Pupa_Card#							//		ÇªÆÄÄ«µå					|		Carta Pupa
4004#Drops_Card#						//		µå·ÓÇÁ½ºÄ«µå					|		Carta Drops
4005#Poring__Card#						//		»êÅ¸Æ÷¸µÄ«µå					|		Carta Poring Noel
4006#Lunatic_Card#						//		·ç³ªÆ½Ä«µå					|		Carta Lunatico
4007#Pecopeco_Egg_Card#					//		ÆäÄÚÆäÄÚ¾ËÄ«µå				|		Carta Ovo de Peco Peco
4008#Picky_Card#						//		ÇÈÅ°Ä«µå					|		Carta Picky
4009#Chonchon_Card#						//		ÃÌÃÌÄ«µå					|		Carta Chonchon
4010#Wilow_Card#						//		Àª·Î¿ìÄ«µå					|		Carta Salgueiro
4011#Picky__Card#						//		¾ËÇÈÅ°Ä«µå					|		Carta Picky com casca
4012#Thief_Bug_Egg_Card#				//		µµµÏ¹ú·¹¾ËÄ«µå				|		Carta Ovo de Besouro-Ladrao
4013#Andre_Egg_Card#					//		¾Óµå·¹¾ËÄ«µå					|		Carta Ovo de Andre
4014#Roda_Frog_Card#					//		·Î´ÙÇÁ·Î±×Ä«µå				|		Carta Sapo de Roda
4015#Condor_Card#						//		ÄÜµµ¸£Ä«µå					|		Carta Condor
4016#Thief_Bug_Card#					//		µµµÏ¹ú·¹Ä«µå					|		Carta Besouro-Ladrao
4017#Savage_Babe_Card#					//		»õºñÁöº£º£Ä«µå				|		Carta Bebe Selvagem
4018#Andre_Larva_Card#					//		¾Óµå·¹À¯ÃæÄ«µå				|		Carta Larva de Andre
4019#Hornet_Card#						//		È£³ÝÄ«µå					|		Carta Zangao
4020#Farmiliar_Card#					//		ÆÛ¹Ð¸®¾îÄ«µå					|		Carta Familiar
4021#Rocker_Card#						//		·ÎÄ¿Ä«µå					|		Carta Rocker
4022#Spore_Card#						//		½ºÆ÷¾ÆÄ«µå					|		Carta Esporo
4023#Desert_Wolf_Babe_Card#				//		µ¥¿ïÇÁ»õ³¢Ä«µå				|		Carta Filhote de Lobo do Deserto
4024#Plankton_Card#						//		ÇÃ¶ûÅ©ÅæÄ«µå					|		Carta Plankton
4025#Skeleton_Card#						//		½ºÄÌ·¹ÅæÄ«µå					|		Carta Esqueleto
4026#Thief_Bug_Female_Card#				//		¾ÏµµµÏ¹ú·¹Ä«µå				|		Carta Besouro-Ladrao Femea
4027#Kukre_Card#						//		ÄíÅ©·¹Ä«µå					|		Carta Kukre
4028#Tarou_Card#						//		Å¸·Î¿ìÄ«µå					|		Carta Tarou
4029#Wolf_Card#							//		¿ïÇÁÄ«µå					|		Carta Lobo
4030#Mandragora_Card#					//		¸¸µå¶ó°í¶óÄ«µå				|		Carta Mandragora
4031#Pecopeco_Card#						//		ÆäÄÚÆäÄÚÄ«µå					|		Carta Peco Peco
4032#Ambernite_Card#					//		¾Ú¹ö³ªÀÌÆ®Ä«µå				|		Carta Ambernite
4033#Poporing_Card#						//		Æ÷Æ÷¸µÄ«µå					|		Carta Poporing
4034#Worm_Tail_Card#					//		¿úÅ×ÀÏÄ«µå					|		Carta Rabo-de-Verme
4035#Hydra_Card#						//		È÷µå¶óÄ«µå					|		Carta Hidra
4036#Muka_Card#							//		¹«Ä«Ä«µå					|		Carta Muka
4037#Snake_Card#						//		½º³×ÀÌÅ©Ä«µå					|		Carta Jiboia
4038#Zombie_Card#						//		Á»ºñÄ«µå					|		Carta Zumbi
4039#Stainer_Card#						//		½ºÅ¸ÀÌ³ÊÄ«µå					|		Carta Percevejo
4040#Creamy_Card#						//		Å©¸®¹ÌÄ«µå					|		Carta Creamy
4041#Coco_Card#							//		ÄÚÄÚÄ«µå					|		Carta Koko
4042#Steel_Chonchon_Card#				//		½ºÆ¿ÃÌÃÌÄ«µå					|		Carta Chonchon de Aco
4043#Andre_Card#						//		¾Óµå·¹Ä«µå					|		Carta Andre
4044#Smokie_Card#						//		½º¸ðÅ°Ä«µå					|		Carta Fumacento
4045#Horn_Card#							//		È£¸¥Ä«µå					|		Carta Besouro-Chifre
4046#Martin_Card#						//		¸¶¸£Æ¾Ä«µå					|		Carta Martin
4047#Ghostring_Card#					//		°í½ºÆ®¸µÄ«µå					|		Carta Ghostring
4048#Poison_Spore_Card#					//		Æ÷½ºÆ÷¾ÆÄ«µå					|		Carta Esporo Venenoso
4049#Vadon_Card#						//		¹Ùµ·Ä«µå					|		Carta Vadon
4050#Thief_Bug_Male_Card#				//		¼öµµµÏ¹ú·¹Ä«µå				|		Carta Besouro-Ladrao Macho
4051#Yoyo_Card#							//		¿ä¿äÄ«µå					|		Carta Yoyo
4052#Elder_Wilow_Card#					//		¿¤´õÀª·Î¿ìÄ«µå				|		Carta Salgueiro Anciao
4053#Vitata_Card#						//		ºñÅ¸Å¸Ä«µå					|		Carta Vitata
4054#Angeling_Card#						//		¿£Á©¸µÄ«µå					|		Carta Angeling
4055#Marina_Card#						//		¸¶¸®³ªÄ«µå					|		Carta Marina
4056#Dustiness_Card#					//		´õ½ºÆ¼³×½ºÄ«µå				|		Carta Poeira
4057#Metaller_Card#						//		¸ÞÆ²·¯Ä«µå					|		Carta Metaller
4058#Thara_Frog_Card#					//		Å¸¶óÇÁ·Î±×Ä«µå				|		Carta Sapo de Thara
4059#Soldier_Andre_Card#				//		º´Á¤¾Óµå·¹Ä«µå				|		Carta Soldado Andre
4060#Goblin_Card#						//		°íºí¸°Ä«µå					|		Carta Goblin
4061#Cornutus_Card#						//		Ä¿³ÊÅõ½ºÄ«µå					|		Carta Cornutus
4062#Anacondaq_Card#					//		¾Æ³ªÄÜ´ÙÅ©Ä«µå				|		Carta Anaconda
4063#Caramel_Card#						//		Ä«¶ó¸áÄ«µå					|		Carta Caramelo
4064#Zerom_Card#						//		Á¦·ÒÄ«µå					|		Carta Zerom
4065#Kaho_Card#							//		Ä«È£Ä«µå					|		Carta Kaho
4066#Orc_Warrior_Card#					//		¿ÀÅ©¿ö¸®¾îÄ«µå				|		Carta Guerreiro Orc
4067#Megalodon_Card#					//		¸Þ°¥·Îµ·Ä«µå					|		Carta Megalodon
4068#Scorpion_Card#						//		½ºÄÝÇÇ¿ÂÄ«µå					|		Carta Escorpiao
4069#Drainliar_Card#					//		µå·¹ÀÎ¸®¾îÄ«µå				|		Carta Drainliar
4070#Eggyra_Card#						//		¿¡±â¶óÄ«µå					|		Carta Eggyra
4071#Orc_Zombie_Card#					//		¿ÀÅ©Á»ºñÄ«µå					|		Carta Orc Zumbi
4072#Golem_Card#						//		°í·½Ä«µå					|		Carta Golem
4073#Pirate_Skel_Card#					//		ÇØÀû½ºÄÌÄ«µå					|		Carta Esqueleto Pirata
4074#BigFoot_Card#						//		ºòÇ²Ä«µå					|		Carta Pe-Grande
4075#Argos_Card#						//		¾Æ¸£°í½ºÄ«µå					|		Carta Argos
4076#Magnolia_Card#						//		¹é·Ã¿ÁÄ«µå					|		Carta Magnolia
